p1,p2,p3,p4,p5,p6
カバルドン,ザシアン,サンダー電,ウーラオス悪,ポリゴン２,ゴチルゼル
ザシアン,サンダー電,ガブリアス,カバルドン,ウーラオス悪,メタモン
バドレックス白,ドヒドイデ,カプ・レヒレ,ウーラオス悪,ホルード,ロトム炎
ザシアン,サンダー電,ウインディ,ポリゴン２,ウーラオス悪,パッチラゴン
ザシアン,ガブリアス,サンダー電,ウーラオス悪,ポリゴン２,ガマゲロゲ
ザシアン,ロトム炎,ボルトロス化,ランドロス霊,ラプラス,ウーラオス悪
ディアルガ,カプ・レヒレ,ウーラオス悪,ゴリランダー,サンダー電,ランドロス霊
ネクロズマ日,ガマゲロゲ,カバルドン,ブラッキー,ウーラオス悪,サンダー電
ザシアン,ラグラージ,サンダー電,ポリゴン２,ウーラオス悪,ウオノラゴン
ドラパルト,カイオーガ,ランドロス霊,サンダー電,ヒードラン,ウーラオス悪
ザシアン,ラプラス,サンダー電,ウーラオス悪,ラッキー,ヌオー
エースバーン,ザシアン,ラグラージ,ウーラオス悪,ボルトロス霊,カプ・レヒレ
ザシアン,カイリュー,ラグラージ,ウーラオス悪,ポリゴン２,サンダー電
カイオーガ,サンダー電,ウーラオス悪,ランドロス霊,ナットレイ,ラッキー
ラグラージ,ネクロズマ日,ギャラドス,サンダー電,バシャーモ,ウーラオス悪
カイオーガ,サンダー電,ナットレイ,ドサイドン,ヒヒダルマ氷,ウーラオス悪
レジエレキ,メタモン,ランドロス霊,ウーラオス悪,ナットレイ,バドレックス黒
バドレックス黒,ポリゴン２,ドヒドイデ,サンダー電,ドリュウズ,ウーラオス悪
ザシアン,サンダー電,ロトム炎,カイリュー,ガマゲロゲ,ウーラオス悪
バドレックス黒,カバルドン,マリルリ,ナットレイ,ウインディ,ウーラオス悪
ザシアン,ウーラオス悪,サンダー電,ウオノラゴン,ドヒドイデ,ドサイドン
ネクロズマ日,ドラパルト,サンダー電,ウーラオス悪,トリトドン,ニンフィア
ザシアン,サンダー電,ウーラオス悪,カイリュー,ガマゲロゲ,ロトム炎
サンダー電,ゼルネアス,ラグラージ,メタモン,ウーラオス悪,ナットレイ
バドレックス黒,カバルドン,サンダー電,ウーラオス悪,マリルリ,ドリュウズ
ラプラス,ザシアン,カバルドン,サンダー電,エースバーン,ウーラオス悪
カイオーガ,カイリュー,ウーラオス悪,サンダー電,ドリュウズ,ランクルス
